測試案例,正確答案,V1預測,V2預測,V3預測,V1正確,V2正確,V3正確
防火牆設備,實體,實體,實體,實體,True,True,True
MySQL資料庫,軟體,軟體,軟體,軟體,True,True,True
作業文件,資料,資料,資料,資料,True,True,True
系統管理員,人員,軟體,人員,人員,False,True,True
網路服務,服務,服務,服務,服務,True,True,True
儲存設備,實體,實體,實體,實體,True,True,True
Oracle系統,軟體,軟體,軟體,軟體,True,True,True
電子紀錄,資料,資料,資料,資料,True,True,True
外部人員,人員,人員,人員,人員,True,True,True
雲端服務,服務,服務,服務,服務,True,True,True
SDN控制器,實體,未知,實體,實體,False,True,True
容器編排平台,軟體,未知,軟體,軟體,False,True,True
區塊鏈帳本,資料,未知,資料,資料,False,True,True
DevOps工程師,人員,未知,人員,人員,False,True,True
邊緣運算服務,服務,服務,服務,服務,True,True,True
量子加密器,實體,未知,實體,實體,False,True,True
微服務架構,軟體,服務,軟體,軟體,False,True,True
智能合約碼,資料,未知,資料,資料,False,True,True
資安稽核員,人員,未知,人員,人員,False,True,True
零信任網關,服務,未知,服務,服務,False,True,True
神經網路模型,軟體,服務,軟體,軟體,False,True,True
物聯網感測器,實體,未知,實體,實體,False,True,True
元資料庫,資料,軟體,資料,資料,False,True,True
滲透測試師,人員,未知,人員,人員,False,True,True
API閘道器,服務,服務,服務,服務,True,True,True
混合雲平台,軟體,未知,軟體,軟體,False,True,True
生物辨識器,實體,未知,實體,實體,False,True,True
審計軌跡,資料,未知,資料,資料,False,True,True
資料科學家,人員,未知,資料,人員,False,False,True
無伺服運算,服務,未知,服務,服務,False,True,True
